"id","route_id","label","latitude","longitude","speed","bearing","current_status","updated_at","rn"
"y1657","31","1657","42.2897565","-71.094610829",,"349.0","STOPPED_AT","2025-08-31T11:02:59-04:00","1"
"1866","CR-Providence","1866","42.34638595581055","-71.0581283569336","3.6",,"IN_TRANSIT_TO","2025-08-31T11:02:40-04:00","1"
"y3001","712","3001","42.36085706","-70.970826619",,"12.0","IN_TRANSIT_TO","2025-08-31T11:02:51-04:00","1"
"y1304","742","1304","42.34411569","-71.03309585",,"270.0","IN_TRANSIT_TO","2025-08-31T11:02:56-04:00","1"
"y1818","9","1818","42.34612328","-71.06255267",,"61.0","STOPPED_AT","2025-08-31T11:02:56-04:00","1"
"y1819","15","1819","42.29998","-71.06144",,"270.0","IN_TRANSIT_TO","2025-08-31T10:02:50-04:00","1"
"O-548522D1","Orange","1494","42.31976","-71.10265",,"210.0","INCOMING_AT","2025-08-31T00:22:55-04:00","1"
"O-54852A9E","Orange","1492","42.30595","-71.11056",,"210.0","INCOMING_AT","2025-08-31T11:02:30-04:00","1"
"B-548525E3","Blue","0750","42.40918","-70.99267",,"355.0","IN_TRANSIT_TO","2025-08-31T00:17:52-04:00","1"
"B-548525EA","Blue","0740","42.4135","-70.99162",,"20.0","STOPPED_AT","2025-08-31T01:21:39-04:00","1"
"B-54852A7E","Blue","0740","42.35957","-71.05163",,"260.0","STOPPED_AT","2025-08-31T11:02:24-04:00","1"
"y1988","91","1988","42.38731099","-71.07357853",,"105.0","IN_TRANSIT_TO","2025-08-31T01:47:55-04:00","1"
"y2079","77","2079","42.37265683","-71.12278537",,"269.0","STOPPED_AT","2025-08-31T11:02:54-04:00","1"
"y2041","62","2041","42.42429503","-71.18337794",,"108.0","STOPPED_AT","2025-08-31T11:02:54-04:00","1"
"y3147","83","3147","42.39335189","-71.130894199",,"265.0","IN_TRANSIT_TO","2025-08-31T01:27:55-04:00","1"
"y1284","749","1284","42.35480066","-71.0619796",,"261.0","IN_TRANSIT_TO","2025-08-31T02:12:53-04:00","1"
"y1288","749","1288","42.34828318","-71.06413925",,"169.0","IN_TRANSIT_TO","2025-08-31T11:02:58-04:00","1"
